goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
0,66.67,1,0,0,0,0.03,1,0.0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,7.0,965775,3219
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,1467092,6074
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,875398,3207
1,76.92,5,0,0,1,1.89,30,3.33,3,1,3,1,8,0,0,0,0.0,10,17,0,1,0,0.0,7.0,106384,3218
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.99,846421,3204
2,81.82,5,0,1,0,0.46,18,11.11,0,0,1,0,5,0,0,0,0.0,18,8,0,1,2,0.0,6.99,583332,3206
1,60.0,1,0,0,0,0.73,7,14.29,0,0,0,0,3,0,0,1,0.0,6,3,0,1,0,0.0,6.99,1095023,36837
0,50.0,3,0,0,0,0.83,15,0.0,0,0,3,1,4,0,0,0,0.0,5,8,0,0,0,0.0,6.99,249383,3204
1,85.71,4,0,0,0,1.12,11,9.09,0,1,2,1,2,0,0,0,0.0,6,5,0,1,0,0.0,6.98,895342,3205
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.98,578460,42338
2,72.73,6,0,0,1,0.76,17,11.76,4,0,0,0,5,0,0,2,0.0,8,6,0,2,0,0.0,6.98,1086935,36833
4,31.25,8,0,2,2,2.98,44,9.09,0,1,1,1,12,0,0,1,0.0,5,24,0,2,2,0.0,6.98,830667,3206
0,0.0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.98,1017448,3216
0,0.0,0,0,0,1,0.01,1,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0.0,6.98,941532,3221
1,40.0,0,0,0,1,1.24,8,12.5,0,0,1,1,1,0,0,1,0.0,2,7,0,1,0,0.0,6.98,933167,3204
0,72.97,4,0,0,1,1.11,16,0.0,0,0,0,1,3,0,0,0,0.0,27,9,0,0,0,0.0,6.98,978563,3210
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.98,581628,3217
1,75.0,4,0,0,0,0.98,14,7.14,0,1,1,1,4,0,0,0,0.0,3,6,0,1,0,0.0,6.97,877400,3217
0,61.29,2,1,0,1,0.22,6,0.0,1,0,1,0,2,0,0,0,0.0,19,2,0,0,0,0.0,6.97,799653,3207
5,42.86,9,1,0,1,4.6,42,11.9,0,0,12,4,21,0,0,0,0.0,30,12,0,5,5,0.0,6.97,1018450,3211
0,85.71,5,0,0,0,0.31,11,0.0,1,0,0,0,1,0,0,0,0.0,6,5,0,0,0,0.0,6.97,901471,3216
0,81.25,0,0,0,0,0.11,3,0.0,0,0,1,0,2,0,0,0,0.0,26,1,0,0,0,0.0,6.97,941403,3212
2,66.67,9,0,0,0,2.44,25,8.0,0,1,4,1,3,1,0,0,0.0,14,13,0,2,1,0.0,6.97,989886,7629
6,57.14,9,0,0,1,7.04,44,13.64,0,1,13,9,17,1,0,2,100.0,12,18,1,6,3,0.0,6.96,943166,36833
1,50.0,1,0,0,1,1.22,6,16.67,0,0,0,2,3,0,0,0,0.0,3,2,0,1,1,0.0,6.96,1016644,7628
1,100.0,1,0,0,0,0.2,6,16.67,0,1,0,0,2,0,0,0,0.0,1,3,0,1,0,0.0,6.96,1087335,3212
1,36.67,1,0,0,1,1.45,16,6.25,0,1,1,3,7,0,0,0,0.0,11,8,0,1,0,0.0,6.96,981452,3210
2,37.5,6,0,1,0,0.51,13,15.38,0,0,1,0,4,0,0,1,0.0,6,3,0,1,1,0.0,6.96,797031,3201
1,56.9,6,0,0,1,2.22,24,4.17,6,0,1,3,6,0,0,0,0.0,33,12,0,1,1,0.0,6.95,801037,7628
4,59.7,10,0,1,0,2.41,27,14.81,0,0,0,2,10,0,0,4,0.0,40,7,0,3,0,0.0,6.95,1087087,3217
3,55.77,9,0,0,0,2.63,21,14.29,0,0,2,1,9,0,0,1,0.0,29,3,0,3,2,0.0,6.95,257475,3210
1,66.67,1,0,0,0,0.91,6,16.67,0,0,1,0,1,0,0,0,0.0,4,4,0,1,1,0.0,6.95,250933,3208
1,50.0,1,0,0,0,0.85,6,16.67,1,0,0,0,2,0,0,0,0.0,7,3,0,1,1,0.0,6.95,1003011,3202
1,0.0,0,0,1,0,0.06,1,100.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,1,0.0,6.95,1094181,36839
0,100.0,0,0,0,0,0.34,7,0.0,0,0,3,0,2,0,0,0,0.0,2,5,0,0,0,0.0,6.95,34007,36833
0,63.16,0,0,0,0,0.28,3,0.0,0,0,1,1,1,0,0,0,0.0,24,2,0,0,0,0.0,6.95,247741,3202
0,62.5,1,0,0,0,1.08,9,0.0,0,0,0,1,2,0,0,0,0.0,5,6,0,0,0,0.0,6.95,587110,3202
0,50.0,0,0,0,0,0.02,1,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0.0,6.95,1484796,3209
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.95,256935,3203
0,50.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,6.95,106111,3212
2,53.23,9,0,1,1,2.32,37,5.41,3,0,1,3,8,0,0,2,0.0,33,20,0,1,0,0.0,6.95,989871,3218
4,63.16,5,1,0,5,6.03,50,8.0,0,0,20,5,14,2,0,3,50.0,12,31,1,4,1,0.0,6.94,33776,42338
1,66.67,0,0,0,0,0.19,5,20.0,0,0,0,0,3,0,0,1,0.0,2,2,0,1,0,0.0,6.94,850925,36837
3,53.66,10,0,1,1,2.69,26,11.54,2,0,7,2,8,0,0,0,0.0,22,8,0,2,3,0.0,6.94,558816,3208
4,57.58,11,0,2,0,1.36,31,12.9,5,0,0,0,9,0,0,4,0.0,38,11,0,2,0,0.0,6.94,896985,36837
0,44.44,0,0,0,0,0.19,4,0.0,0,0,0,0,2,0,0,0,0.0,8,2,0,0,0,0.0,6.94,1183059,3204
3,55.92,9,0,0,0,2.4,39,7.69,0,0,1,1,14,0,0,3,0.0,85,16,0,3,0,0.0,6.94,981007,6074
1,55.0,6,0,0,0,2.02,22,4.55,4,0,1,0,10,0,0,0,0.0,22,6,0,1,1,0.0,6.94,1022257,7628
0,51.61,3,0,0,0,1.1,19,0.0,1,0,4,0,3,0,0,0,0.0,16,13,0,0,0,0.0,6.93,792153,65676
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.93,1003008,36833
2,64.23,11,1,0,1,1.77,26,7.69,3,0,1,0,6,1,0,0,100.0,88,9,1,2,2,0.0,6.93,1131037,36837
11,50.0,11,0,1,0,9.95,58,18.97,0,3,19,9,27,5,0,0,80.0,15,20,4,10,8,0.0,6.93,107397,3218
1,62.86,10,0,1,1,1.07,31,3.23,1,0,0,0,10,0,0,1,0.0,22,11,0,0,0,0.0,6.93,1022263,3204
0,50.0,2,0,0,0,0.28,9,0.0,0,0,2,0,5,0,0,0,0.0,15,2,0,0,0,0.0,6.93,149850,3202
5,54.29,9,1,0,0,5.69,47,10.64,0,0,10,6,16,1,0,2,100.0,19,22,1,5,3,0.0,6.93,1092308,3219
2,65.71,6,0,0,0,1.54,17,11.76,0,0,1,2,6,0,0,1,0.0,23,5,0,2,1,0.0,6.93,992126,36837
3,70.37,4,0,0,0,1.58,17,17.65,0,2,0,1,5,0,0,1,0.0,19,8,0,3,0,0.0,6.92,579350,3202
6,51.72,15,0,1,2,3.86,44,13.64,1,1,6,3,13,0,0,1,0.0,60,16,0,5,4,0.0,6.92,953844,3218
0,0.0,0,0,0,0,0.31,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.92,12758,3206
0,0.0,0,0,0,0,0.29,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.92,836159,3219
0,71.43,2,0,0,0,0.28,8,0.0,0,0,0,0,2,0,0,0,0.0,5,4,0,0,0,0.0,6.92,883922,36837
0,50.0,1,0,0,0,0.08,3,0.0,0,0,0,0,1,0,0,0,0.0,5,1,0,0,0,0.0,6.92,147583,3203
2,60.0,5,0,0,0,1.63,13,15.38,0,0,0,2,4,0,0,1,0.0,15,4,0,2,1,0.0,6.91,250231,3202
1,79.31,1,0,0,0,0.6,10,10.0,0,1,0,0,5,0,0,0,0.0,23,4,0,1,0,0.0,6.91,1108450,3206
11,60.0,7,0,1,2,11.14,42,26.19,2,0,25,5,21,7,0,1,85.71,21,14,6,10,10,0.0,6.91,47435,3209
4,23.81,15,0,1,2,3.84,42,9.52,17,0,3,0,16,3,0,0,100.0,5,11,3,3,4,0.0,6.91,992084,65668
1,40.0,1,0,0,0,0.29,6,16.67,1,0,1,0,3,0,0,1,0.0,6,2,0,1,0,0.0,6.91,1089454,3217
1,50.0,5,0,0,0,0.52,12,8.33,0,0,2,1,4,0,0,0,0.0,6,3,0,1,1,0.0,6.91,581630,42338
0,77.78,1,1,0,0,0.77,12,0.0,0,0,1,0,2,0,0,0,0.0,7,9,0,0,0,0.0,6.91,93196,42338
2,54.35,4,0,1,1,2.32,28,7.14,4,1,2,2,8,0,0,0,0.0,25,16,0,1,1,0.0,6.91,909608,3212
1,46.67,2,0,0,0,0.78,7,14.29,1,0,0,0,1,0,0,1,0.0,7,4,0,1,0,0.0,6.9,1003013,3212
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.9,818326,36837
2,59.13,6,0,0,0,2.05,28,7.14,1,0,1,1,12,0,0,0,0.0,68,10,0,2,2,0.0,6.9,1201395,3208
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.9,158249,3209
1,81.82,3,0,0,0,0.56,8,12.5,0,0,1,0,1,0,0,0,0.0,9,4,0,1,1,0.0,6.9,877452,3218
